episode,reward,steps
1529,-4,16
1530,5,16
1531,-2,14
1532,4,8
1533,-3,15
1534,-7,19
1535,11,10
1536,4,17
1537,13,8
1538,-2,14
1539,5,16
1540,-5,17
1541,8,13
1542,2,19
1543,-5,17
1544,6,15
1545,-12,15
1546,11,10
1547,8,13
1548,7,14
1549,-4,16
1550,3,18
1551,5,16
1552,-1,13
1553,-4,16
1554,6,15
1555,5,16
1556,-19,22
1557,4,17
1558,7,14
1559,-10,13
1560,-5,17
1561,-8,20
1562,9,12
1563,0,12
1564,-2,14
1565,7,14
1566,-4,16
1567,8,13
1568,12,9
1569,2,19
1570,10,11
1571,9,12
1572,2,19
1573,0,21
1574,-4,16
1575,-3,15
1576,8,13
1577,6,15
1578,-7,19
1579,-7,19
1580,6,15
1581,3,18
1582,-1,22
1583,-3,15
1584,10,11
1585,9,12
1586,-1,13
1587,-2,14
1588,4,8
1589,5,16
1590,10,11
1591,8,13
1592,0,12
1593,6,15
1594,6,15
1595,11,10
1596,12,9
1597,-13,16
1598,3,18
1599,0,12
1600,-8,20
1601,1,20
1602,7,14
1603,4,17
1604,-13,25
1605,1,11
1606,7,14
1607,7,14
1608,-2,14
1609,7,14
1610,7,14
1611,10,11
1612,-7,19
1613,10,11
1614,8,13
1615,-17,20
1616,6,15
1617,-26,20
1618,11,10
1619,6,15
1620,-5,17
1621,12,9
1622,4,17
1623,9,12
1624,5,16
1625,-8,20
1626,-4,16
1627,12,9
1628,7,14
1629,0,12
1630,-4,16
1631,8,13
1632,7,14
1633,8,13
1634,-9,21
1635,7,14
1636,-12,24
1637,6,15
1638,8,13
1639,6,15
1640,8,13
1641,1,11
1642,7,14
1643,10,11
1644,-9,21
1645,9,12
1646,9,12
1647,4,17
1648,10,11
1649,9,12
1650,6,15
1651,-15,18
1652,-2,14
1653,5,16
1654,-4,16
1655,7,14
1656,9,12
1657,-5,17
1658,-2,14
1659,-4,16
1660,-4,16
1661,4,17
1662,6,15
1663,12,9
1664,-1,13
1665,14,7
1666,7,14
1667,-3,15
1668,14,7
1669,-5,17
1670,8,13
1671,-3,15
1672,4,17
1673,-3,15
1674,8,13
1675,-5,17
1676,7,14
1677,-2,14
1678,0,21
1679,7,14
1680,1,11
1681,-21,24
1682,-4,16
1683,5,16
1684,0,12
1685,6,15
1686,-12,15
1687,2,10
1688,5,7
1689,6,15
1690,-3,15
1691,6,15
1692,6,15
1693,6,15
1694,-3,15
1695,10,11
1696,-5,17
1697,-4,16
1698,-4,16
1699,-4,16
1700,8,13
1701,13,8
1702,9,12
1703,-1,13
1704,-4,16
1705,3,18
1706,10,11
1707,-4,16
1708,7,14
1709,-27,21
1710,9,12
1711,-6,18
1712,-20,23
1713,1,20
1714,9,12
1715,-3,15
1716,12,9
1717,-4,16
1718,9,12
1719,-4,16
1720,0,12
1721,7,14
1722,0,12
1723,4,17
1724,-19,22
1725,5,16
1726,-4,16
1727,13,8
1728,7,14
1729,6,15
1730,11,10
1731,1,11
1732,-13,16
1733,1,11
1734,9,12
1735,6,15
1736,4,17
1737,10,11
1738,-2,14
1739,4,17
1740,6,15
1741,9,12
1742,7,14
1743,-8,20
1744,6,15
1745,3,18
1746,3,18
1747,5,16
1748,8,13
1749,-4,16
1750,14,7
1751,0,21
1752,13,8
1753,8,13
1754,10,11
1755,3,18
1756,4,17
1757,7,14
1758,8,13
1759,6,15
1760,6,15
1761,9,12
1762,4,17
1763,9,12
1764,-15,18
1765,-6,18
1766,9,12
1767,-5,17
1768,10,11
1769,9,12
1770,6,15
1771,8,13
1772,-29,23
1773,-13,16
1774,5,16
1775,8,13
1776,-2,14
1777,6,15
1778,2,19
1779,7,14
1780,-12,15
1781,4,17
1782,11,10
1783,-2,14
1784,1,20
1785,-5,17
1786,-6,18
1787,5,16
1788,12,9
1789,-3,15
1790,8,13
1791,2,10
1792,6,15
1793,-6,18
1794,-28,22
1795,9,12
1796,-19,22
1797,11,10
1798,4,17
1799,7,14
1800,11,10
1801,-2,14
1802,14,7
1803,7,14
1804,-20,23
1805,11,10
1806,13,8
1807,5,16
1808,12,9
1809,2,19
1810,-1,13
1811,11,10
1812,-39,24
1813,-5,17
1814,7,14
1815,8,13
1816,8,13
1817,-14,26
1818,-19,22
1819,3,18
1820,7,14
1821,8,13
1822,2,19
1823,5,16
1824,2,19
1825,-17,20
1826,5,16
1827,-4,16
1828,8,13
1829,10,11
1830,3,18
1831,-3,15
1832,10,11
1833,3,18
1834,6,15
1835,7,14
1836,-4,16
1837,3,18
1838,11,10
1839,-3,15
1840,-18,21
1841,12,9
1842,-12,15
1843,-5,17
1844,3,18
1845,8,13
1846,7,14
1847,-17,20
1848,9,12
1849,7,14
1850,15,6
1851,7,14
1852,9,12
1853,2,19
1854,12,9
1855,-2,14
1856,-8,20
1857,11,10
1858,3,18
1859,-5,17
1860,11,10
1861,8,13
1862,-11,23
1863,3,18
1864,6,15
1865,3,18
1866,-11,14
1867,4,17
1868,11,10
1869,3,18
1870,-5,17
1871,-6,18
1872,9,12
1873,14,7
1874,-8,20
